67171.41,69309.8,66867.47,68692.12
68692.12,69482.97,68540.83,68938.91
68938.91,69079.4,68683.32,68853.96
68853.97,69137.5,68768.56,68981.99
68982,69343,68730.13,69219.26
69219.27,70560.01,69218.71,70505.74
70505.74,70533.67,69064.6,69778.28
69778.28,69930.9,69283.02,69873.99
69873.99,70250.46,69668.05,69822.95
69822.94,69990.02,69251.5,69954.5
69954.5,70926.42,69459.35,70828.42
70828.43,70983,70182.31,70295.22
70295.22,70418.48,68772.2,69099.99
69100,69100,68000,68286.63
68286.64,69078.49,68120,68832.58
68832.59,69065.5,68143.22,68424.82
68424.82,68900,68228.76,68587.9
68587.89,69060.77,68338.9,68812.83
68812.84,70126.67,67294.11,67539.52
67539.53,68245.34,67513.94,67913.43
67913.44,68978.88,67827.11,68892.43
68892.43,69241.5,68387.2,68474.9
68474.9,68707.49,67892,68388.12
68388.12,68479.17,67690,67854.6
67854.6,68360.5,66621.06,67392.05
67392.06,68235.39,66881.08,67793.32
67793.32,67928.08,67394,67503.52
67503.52,67705.65,66892.03,67629.11
67629.1,68219.81,67500.1,68106.44
68106.44,68476.22,67076.9,67369.75
67369.75,68347.72,66717.3,67694.01
67694.01,67706.94,65870,66177.14
66177.15,66550,66053.6,66461
66461,66997.07,66345,66980.91
66980.91,67320,66679.76,67206.45
67206.45,67206.45,66478.02,66496.02
66496.03,66755.39,65631.83,66398
66398.01,67198.1,65899.25,67050
67050,67168.86,66652.34,67003.73
67003.73,67488.67,66949.41,67366.25
67366.25,68006,67115.38,67825.91
67825.91,68318.39,67280.6,67318.41
67318.41,68083.98,66280.2,67582.95
67582.95,68000,66952.11,67646.03
67646.03,68233.99,67520.3,68020.01
68020,68099.54,67534.69,67667.77
67667.77,67924.39,67593.99,67856.01
67856.01,68314.54,67807.3,68092.45
68092.45,68698.7,67915,68615
68615.01,68658.5,68101.78,68543.51
68543.51,68605.63,67900,67975.93
67975.93,68222.16,67809.78,68041.43
68041.42,68178.79,67881.81,68005.3
68005.3,68245,67912.02,68219.97
68219.97,68232.4,67303.5,67684.14
67684.15,67718.13,67190,67428.32
67428.32,67751.44,67350,67643.4
67643.39,67684.86,64290.71,64934.17
64934.18,66015.22,64685.64,65958.94
65958.94,66600,65565.78,66207.23
66207.23,66511.51,65529.73,65660.1
65660.1,65724.28,64048.71,64295.1
64295.11,65035.98,63888.79,64656.02
64656.01,65026.75,63342.9,63595.51
63595.51,63628.52,62700.8,63192.96
63192.79,63444.66,62908.92,63227.1
63227.11,64031.76,62510.28,63973.97
63973.98,64743.11,63689.54,64435.03
64435.03,64591.99,63820.5,64058.15
64058.15,66310,63913.27,65391.73
65391.74,65650,64755.26,65028.3
65028.3,65692.62,64955.79,65430.04
65430.04,67578,65324.62,67412.33
67412.32,69550,67404,69038.26
69038.26,69988.83,67600,67988.04
67988.04,68700,67727.52,68216.86
68216.87,68860,67817.87,67825.04
67825.05,68722.64,67792,68051.31
68051.3,68303.83,66761.16,67382
67382,67903.12,66500,67589.22
67589.21,67831.11,67150.14,67485.18
67485.19,67712.16,66885,67600.84
67600.84,68216.8,67459.3,67690.6
67690.6,68149.93,65960.01,66126.99
66126.99,66344.9,65649.34,66095.4
66095.4,66121.03,65113.72,65392.18
65392.18,65953.2,64914.46,65872.1
65872.09,66025.52,65721.13,65797.42
65797.42,65818.44,63030,63826
63825.99,64307.44,63372.1,63844.2
63844.2,65360.51,63827.2,64841.18
64841.17,66666.65,64681.81,66362.01
66362.01,67760,66190.61,66973.26
66973.26,68199.99,66042.72,67502.16
67502.16,67612.14,66749.35,67141.39
67141.4,67292.3,66215.71,66468.03
66468.04,67360.57,66132.27,66842.42
66842.42,67112.37,65699.98,65962.17
65962.16,66491.43,65056,65776.47
65776.48,67079,65761.04,66820.03
